Generation,p(HbA),q(HbS)
0,0.94,0.06
1,0.9423741836342682,0.05762581636573185
2,0.944525396273586,0.05547460372641405
3,0.9464832578937551,0.053516742106244866
4,0.9482723655662716,0.05172763443372836
5,0.9499133149153556,0.050086685084644374
6,0.9514234820486105,0.04857651795138955
7,0.9528176290255631,0.04718237097443686
8,0.9541083776401824,0.045891622359817544
9,0.9553065837629604,0.04469341623703957
10,0.9564216357692691,0.04357836423073094
11,0.9574616944273004,0.0425383055726996
12,0.9584338872187721,0.04156611278122785
13,0.9593444668807003,0.04065553311929974
14,0.9601989416250853,0.039801058374914614
15,0.9610021827685814,0.038997817231418604
16,0.9617585142156362,0.038241485784363836
17,0.9624717872669928,0.037528212733007264
18,0.9631454434864827,0.0368545565135173
19,0.9637825677924409,0.03621743220755916
20,0.9643859335022834,0.035614066497716604
21,0.9649580407180831,0.035041959281916946
22,0.9655011491739991,0.03449885082600096
23,0.966017306455866,0.03398269354413396
24,0.9665083723361675,0.03349162766383247
25,0.9669760398342659,0.03302396016573403
26,0.9674218535047364,0.0325781464952636
27,0.9678472253703003,0.03215277462969973
28,0.9682534488458376,0.03174655115416236
29,0.968641710942907,0.03135828905709304
30,0.9690131029975074,0.030986897002492627
31,0.9693686301254315,0.030631369874568513
32,0.9697092195778665,0.030290780422133477
33,0.9700357281436357,0.029964271856364317
34,0.9703489487226166,0.029651051277383416
35,0.970649616176622,0.029350383823377953
36,0.9709384125487323,0.029061587451267707
37,0.9712159717292037,0.028784028270796295
38,0.9714828836352264,0.02851711636477363
39,0.9717396979626165,0.02826030203738351
40,0.9719869275597314,0.028013072440268644
41,0.9722250514672545,0.027774948532745567
42,0.9724545176618284,0.027545482338171584
43,0.9726757455366597,0.02732425446334027
44,0.9728891281480505,0.027110871851949474
45,0.9730950342532277,0.026904965746772255
46,0.9732938101617442,0.0267061898382558
47,0.9734857814200505,0.026514218579949466
48,0.973671254346517,0.02632874565348294
49,0.973850517432169,0.026149482567830982
50,0.974023842620644,0.025976157379355984
